Date,Adj. Close
03-01-22,"4,796.56"
04-01-22,"4,793.54"
05-01-22,"4,700.58"
06-01-22,"4,696.05"
07-01-22,"4,677.03"
10-01-22,"4,670.29"
11-01-22,"4,713.07"
12-01-22,"4,726.35"
13-01-22,"4,659.03"
14-01-22,"4,662.85"
18-01-22,"4,577.11"
19-01-22,"4,532.76"
20-01-22,"4,482.73"
21-01-22,"4,397.94"
24-01-22,"4,410.13"
25-01-22,"4,356.45"
26-01-22,"4,349.93"
27-01-22,"4,326.51"
28-01-22,"4,431.85"
31-01-22,"4,515.55"
01-02-22,"4,546.54"
02-02-22,"4,589.38"
03-02-22,"4,477.44"
04-02-22,"4,500.53"
07-02-22,"4,483.87"
08-02-22,"4,521.54"
09-02-22,"4,587.18"
10-02-22,"4,504.08"
11-02-22,"4,418.64"
14-02-22,"4,401.67"
15-02-22,"4,471.07"
16-02-22,"4,475.01"
17-02-22,"4,380.26"
18-02-22,"4,348.87"
22-02-22,"4,304.76"
23-02-22,"4,225.50"
24-02-22,"4,288.70"
25-02-22,"4,384.65"
28-02-22,"4,373.94"
01-03-22,"4,306.26"
02-03-22,"4,386.54"
03-03-22,"4,363.49"
04-03-22,"4,328.87"
07-03-22,"4,201.09"
08-03-22,"4,170.70"
09-03-22,"4,277.88"
10-03-22,"4,259.52"
11-03-22,"4,204.31"
14-03-22,"4,173.11"
15-03-22,"4,262.45"
16-03-22,"4,357.86"
17-03-22,"4,411.67"
18-03-22,"4,463.12"
21-03-22,"4,461.18"
22-03-22,"4,511.61"
23-03-22,"4,456.24"
24-03-22,"4,520.16"
25-03-22,"4,543.06"
28-03-22,"4,575.52"
29-03-22,"4,631.60"
30-03-22,"4,602.45"
31-03-22,"4,530.41"
01-04-22,"4,545.86"
04-04-22,"4,582.64"
05-04-22,"4,525.12"
06-04-22,"4,481.15"
07-04-22,"4,500.21"
08-04-22,"4,488.28"
11-04-22,"4,412.53"
12-04-22,"4,397.45"
13-04-22,"4,446.59"
14-04-22,"4,392.59"
18-04-22,"4,391.69"
19-04-22,"4,462.21"
20-04-22,"4,459.45"
21-04-22,"4,393.66"
22-04-22,"4,271.78"
25-04-22,"4,296.12"
26-04-22,"4,175.20"
27-04-22,"4,183.96"
28-04-22,"4,287.50"
29-04-22,"4,131.93"
02-05-22,"4,155.38"
03-05-22,"4,175.48"
04-05-22,"4,300.17"
05-05-22,"4,146.87"
06-05-22,"4,123.34"
09-05-22,"3,991.24"
10-05-22,"4,001.05"
11-05-22,"3,935.18"
12-05-22,"3,930.08"
13-05-22,"4,023.89"
16-05-22,"4,008.01"
17-05-22,"4,088.85"
18-05-22,"3,923.68"
19-05-22,"3,900.79"
20-05-22,"3,901.36"
23-05-22,"3,973.75"
24-05-22,"3,941.48"
25-05-22,"3,978.73"
26-05-22,"4,057.84"
27-05-22,"4,158.24"
31-05-22,"4,132.15"
01-06-22,"4,101.23"
02-06-22,"4,176.82"
03-06-22,"4,108.54"
06-06-22,"4,121.43"
07-06-22,"4,160.68"
08-06-22,"4,115.77"
09-06-22,"4,017.82"
10-06-22,"3,900.86"
13-06-22,"3,749.63"
14-06-22,"3,735.48"
15-06-22,"3,789.99"
16-06-22,"3,666.77"
17-06-22,"3,674.84"
21-06-22,"3,764.79"
